criterion,max_depth,min_samples_split,valid_acc
gini,100,128,0.8252032520325203
gini,100,256,0.8089430894308943
gini,100,512,0.7804878048780488
gini,100,1024,0.2926829268292683
log_loss,1,2,0.7195121951219512
log_loss,1,4,0.7560975609756098
log_loss,1,8,0.7723577235772358
log_loss,1,16,0.7479674796747967
log_loss,1,32,0.7967479674796748
log_loss,1,64,0.7886178861788617
log_loss,1,128,0.7479674796747967
log_loss,1,256,0.7439024390243902
log_loss,1,512,0.7682926829268293
log_loss,1,1024,0.2926829268292683
log_loss,5,2,0.8130081300813008
log_loss,5,4,0.8252032520325203
log_loss,5,8,0.8170731707317073
log_loss,5,16,0.8373983739837398
log_loss,5,32,0.8292682926829268
log_loss,5,64,0.8252032520325203
log_loss,5,128,0.8211382113821138
log_loss,5,256,0.7804878048780488
log_loss,5,512,0.7845528455284553
log_loss,5,1024,0.2926829268292683
log_loss,10,2,0.8414634146341463
log_loss,10,4,0.8170731707317073
log_loss,10,8,0.8577235772357723
log_loss,10,16,0.8536585365853658
log_loss,10,32,0.8617886178861789
log_loss,10,64,0.8211382113821138
log_loss,10,128,0.8170731707317073
log_loss,10,256,0.8008130081300813
log_loss,10,512,0.7926829268292683
log_loss,10,1024,0.2926829268292683
log_loss,15,2,0.8577235772357723
log_loss,15,4,0.8373983739837398
log_loss,15,8,0.8699186991869918
log_loss,15,16,0.8739837398373984
log_loss,15,32,0.8455284552845529
log_loss,15,64,0.8333333333333334
log_loss,15,128,0.8170731707317073
log_loss,15,256,0.8170731707317073
log_loss,15,512,0.8211382113821138
log_loss,15,1024,0.2926829268292683
log_loss,20,2,0.8495934959349594
log_loss,20,4,0.8536585365853658
log_loss,20,8,0.8333333333333334
log_loss,20,16,0.8495934959349594
log_loss,20,32,0.8333333333333334
log_loss,20,64,0.8373983739837398
log_loss,20,128,0.8008130081300813
log_loss,20,256,0.7967479674796748
log_loss,20,512,0.7560975609756098
log_loss,20,1024,0.2926829268292683
log_loss,25,2,0.8536585365853658
log_loss,25,4,0.8617886178861789
log_loss,25,8,0.8495934959349594
log_loss,25,16,0.8414634146341463
log_loss,25,32,0.8252032520325203
log_loss,25,64,0.8455284552845529
log_loss,25,128,0.8089430894308943
log_loss,25,256,0.7967479674796748
log_loss,25,512,0.7764227642276422
log_loss,25,1024,0.2926829268292683
log_loss,30,2,0.8658536585365854
log_loss,30,4,0.8577235772357723
log_loss,30,8,0.8577235772357723
log_loss,30,16,0.8536585365853658
log_loss,30,32,0.8373983739837398
log_loss,30,64,0.8333333333333334
log_loss,30,128,0.8211382113821138
log_loss,30,256,0.8008130081300813
log_loss,30,512,0.7845528455284553
log_loss,30,1024,0.2926829268292683
log_loss,50,2,0.8455284552845529
log_loss,50,4,0.8536585365853658
log_loss,50,8,0.8455284552845529
log_loss,50,16,0.8495934959349594
log_loss,50,32,0.8455284552845529
log_loss,50,64,0.8333333333333334
log_loss,50,128,0.8211382113821138
log_loss,50,256,0.8211382113821138
log_loss,50,512,0.7642276422764228
log_loss,50,1024,0.2926829268292683
log_loss,100,2,0.8495934959349594
log_loss,100,4,0.8495934959349594
log_loss,100,8,0.8495934959349594
log_loss,100,16,0.8536585365853658
log_loss,100,32,0.8252032520325203
log_loss,100,64,0.8414634146341463
log_loss,100,128,0.8292682926829268
log_loss,100,256,0.7967479674796748
log_loss,100,512,0.7357723577235772
log_loss,100,1024,0.2926829268292683
